"17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","LBW242","Lapatinib","Nilotinib","Nutlin-3","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","Paclitaxel","Panobinostat","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
4.4163,0.9597,1.391,0.864,0.9805,3.5571,0.08201,0.2907,0.7691,0.07206,0.02354,1.3267,0.05875,0.6584,0.2331,0.2992,6.0946,4.9332,2.4128,0.3253,1.4144,1.2529,2.9817,1.5505
4.6153,1.0623,0.7536,3.5067,1.4945,NA,0.6583,4.2899,0.9329,NA,1.2495,4.1181,NA,0.1697,3.0544,0.09542,6.3835,5.597,NA,0.04952,1.0057,1.2647,3.3122,1.2011
2.5251,1.0303,1.5087,0,0.3605,NA,0.06135,1.0942,0.2499,0.3182,0.1726,0.9204,0.7713,0.3304,0.7433,0.1546,5.6514,4.0163,1.5524,0.2679,0.408,0.7231,3.1845,1.1811
3.9338,1.2742,0.64,2.6304,0.2728,3.5052,0.1243,0.892,0.6902,0.3761,0.1442,4.3938,1.1729,4.497,1.6816,0.07623,5.7392,4.4037,1.6179,0.3943,1.6407,0.3913,3.8903,0.8671
1.8778,0.5889,1.4942,1.1417,0.5729,2.2955,0,0.2116,1.0358,0.2116,0.1986,1.3875,0.03832,0.2181,0.333,0,2.0256,3.3759,0.8661,0.3326,0.4804,0.3328,1.6699,0.7584
3.5096,0.7541,1.2611,0.0802,0.09867,2.2524,0.2789,2.7017,0.7549,0.3452,0.3282,0.09919,0.6936,0.6233,0.7263,0,5.55,4.9716,1.4292,0.3749,1.2299,0.7954,1.9984,0.9214
2.2269,1.1699,0.6374,0.8452,0.463,1.9361,0.09827,0.6449,0.5927,0.08193,0.2278,1.0839,0.09228,0.3743,0.2856,0.2946,3.8972,3.2021,1.9322,0.5223,1.7014,0.696,2.5609,1.2608
2.7526,0.2644,1.3038,0.3168,0.8427,2.605,0,0.2594,0.9129,0.09143,0,0.9157,0,0.1799,0,NA,3.8972,4.9402,2.0174,0.326,0.4506,0.7044,2.1093,NA
4.667,1.1647,4.2714,3.654,0.8905,5.2348,2.0652,1.0611,0.3354,6.0634,0.9154,4.5392,1.5487,3.0185,0.9357,1.0564,7.0443,5.6418,2.7795,1.7046,2.3065,1.6864,5.2851,3.3257
2.6637,0.6604,0.6256,0.2629,0,0.9262,0.02041,0,0.4058,0.1392,0.146,0.557,0.03136,0.4521,0.08131,0,4.0051,3.5731,0.5043,0.3369,0.698,0.4259,0.741,0.4015
3.0835,0.366,0.05565,1.9236,0.09704,NA,0.04943,1.155,0.05121,NA,0.1307,3.051,0.2855,0.3971,0.2601,0.8935,5.3368,4.7008,1.8373,0.38,0.1766,0.419,4.441,0.4975
3.4977,1.5524,1.8504,0.5129,0.6877,NA,NA,4.4022,1.2909,NA,0.7388,0.9489,NA,1.3171,2.2772,0.8378,6.5069,4.7936,NA,0.4498,1.9378,1.7331,6.209,1.3919
3.7075,3.0325,0.2391,3.2726,0.6618,3.0544,1.9436,1.2007,0.6322,0.9395,0.8868,3.7848,0.4814,1.3331,0.8031,0.3779,6.7817,6.4753,3.882,1.2146,3.0508,2.3468,1.2153,1.9454
5.1603,0.5665,1.9008,2.4745,1.5452,NA,0.3693,0.5883,1.9562,0.7939,0.141,2.2958,0.4639,0.4794,0.2629,0.2541,4.7772,4.0829,1.672,0.05019,0.9511,1.2244,3.2542,1.9234
4.4951,0.9502,1.3435,1.0491,0.3636,NA,0.401,0.4887,0.3622,NA,0.2397,1.9272,NA,0.2194,0.806,0.6619,4.4367,5.2069,1.4073,1.0666,1.3489,1.7745,1.564,1.5508
1.7438,2.1301,1.7494,1.8458,0.8677,1.2757,0.1524,0.1906,0.6817,0.4601,0.3852,2.2864,0.0499,0.2888,0.2678,0.1328,4.3524,3.5401,1.4192,0.6551,1.5291,1.356,0.7803,1.3519
3.2302,1.7872,0.7462,2.7378,0.996,3.2033,0.4818,0.5463,1.2718,0.5674,0.6556,4.4245,0.6448,0.7552,0.6601,1.8445,6.0134,5.3635,2.7873,0.8658,1.2092,1.6598,2.9272,1.0411
4.5407,2.2898,0.983,1.9268,0.3828,4.6555,0.9484,0.7225,0.4741,0.6602,1.2915,2.1278,1.3601,1.1658,0.6015,0.5567,6.559,5.5697,2.3576,1.2294,2.1525,1.5069,4.0509,1.2123
4.4662,0.4365,1.4516,0.06311,0,NA,0.008315,0.3804,0.2117,NA,1.068,0.689,NA,0.6586,0.8114,0.1487,5.9752,3.8386,1.6359,1.1492,0.6709,1.3881,4.218,0.485
3.711,0.4895,0.2102,0.2266,0.1358,NA,0,0.5262,0,NA,0.332,0.3018,NA,0.07498,0.5998,0.154,5.015,3.8201,NA,0.1068,0.1636,0.445,1.2313,0.4886
2.3449,0.8205,1.0036,0.6831,0.4303,4.2248,0.1654,0.1936,0.2394,0.256,0.2416,2.272,0.3521,0.7245,0,0.845,4.6277,4.0893,2.6337,1.0509,1.6221,1.5132,4.8979,1.0373
2.1792,0.7879,1.2041,0.06857,0.9732,NA,0,0.7082,0.8684,0.8356,0.4031,1.2638,0.2167,0.4585,0.04114,0,4.0593,4.2403,0.5924,0.2187,1.487,0.3855,1.9017,1.6699
3.4082,1.3274,1.1414,1.3028,0.6055,4.69,0.5029,2.3182,0.756,0.5817,0.1651,2.0909,0.9603,1.1702,1.8311,1.5137,6.5265,4.6095,2.8929,0.497,2.0993,1.2355,4.6049,1.2443
3.6972,0.5457,0.5236,0.6094,0.1787,NA,0.2226,0.4723,0.216,NA,0.5693,0.7663,NA,1.0878,0.4336,0.6865,5.6551,4.6003,NA,0.4663,1.8359,0.7001,2.6126,1.2145
3.1344,0.5312,0.7487,0.2219,0.1201,1.5352,0,0.6135,0.004152,0,0.08879,0.624,0.1815,0.2727,0.4683,0.06015,5.0009,3.4086,1.283,0.1598,0.6572,0.4925,1.297,0.9848
2.8214,1.0074,2.0087,0.5534,0.3789,5.1588,0.9562,0.4284,0.2367,1.8129,1.2758,1.2719,1.6975,0.9777,0.4665,0.1942,6.7581,5.0557,1.0915,0.4338,2.4579,1.5745,5.0562,2.0812
4.1075,0.4519,0.6725,0.2843,0.2662,NA,0.06108,0.2157,0.05188,0.5618,1.2492,0.01881,0.7428,1.5929,0.5117,0.6343,5.2411,4.3444,1.4272,0.1642,1.8596,1.4453,2.6745,1.1921
3.2458,0.4855,0.6418,0.2773,0.8434,NA,0,0.3543,0.7284,NA,0.3702,1.1893,NA,0.1488,0.1362,0.1449,6.1217,3.5884,1.0923,0.3296,1.0078,0.5869,3.1222,1.1713
